Number  Position  Material  Node1  Node2  Node3  Node4
280   9      1      1236      1281      1282      1237
281   9      1      1281      1326      1327      1282
282   9      1      1326      1371      1372      1327
283   9      1      1371      1416      1417      1372
284   9      1      1416      1461      1462      1417
285   9      1      1461      1506      1507      1462
286   9      1      1506      1551      1552      1507
287   9      1      1551      1596      1597      1552
288   9      1      1596      1641      1642      1597
289   9      1      202      247      248      203
290   9      1      247      292      293      248
291   9      1      292      337      338      293
292   9      1      337      382      383      338
293   9      1      382      427      428      383
294   9      1      427      472      473      428
295   9      1      472      517      518      473
296   9      1      517      562      563      518
297   9      1      562      607      608      563
298   9      1      607      652      653      608
299   9      1      652      697      698      653
300   9      1      697      742      743      698
301   9      1      742      787      788      743
302   9      1      787      832      833      788
303   9      1      832      877      878      833
304   9      1      877      922      923      878
305   9      1      922      967      968      923
306   9      1      967      1012      1013      968
307   9      1      1012      1057      1058      1013
308   9      1      1057      1102      1103      1058
309   9      1      1102      1147      1148      1103
310   9      1      1147      1192      1193      1148
311   9      1      1192      1237      1238      1193
312   9      1      1237      1282      1283      1238
313   9      1      1282      1327      1328      1283
314   9      1      1327      1372      1373      1328
315   9      1      1372      1417      1418      1373
316   9      1      1417      1462      1463      1418
317   9      1      1462      1507      1508      1463
318   9      1      1507      1552      1553      1508
319   9      1      1552      1597      1598      1553
320   9      1      1597      1642      1643      1598
321   9      1      203      248      249      204
322   9      1      248      293      294      249
323   9      1      293      338      339      294
324   9      1      338      383      384      339
325   9      1      383      428      429      384
326   9      1      428      473      474      429
327   9      1      473      518      519      474
328   9      1      518      563      564      519
329   9      1      563      608      609      564
330   9      1      608      653      654      609
331   9      1      653      698      699      654
332   9      1      698      743      744      699
333   9      1      743      788      789      744
334   9      1      788      833      834      789
335   9      1      833      878      879      834
336   9      1      878      923      924      879
337   9      1      923      968      969      924
338   9      1      968      1013      1014      969
339   9      1      1013      1058      1059      1014
340   9      1      1058      1103      1104      1059
341   9      1      1103      1148      1149      1104
342   9      1      1148      1193      1194      1149
343   9      1      1193      1238      1239      1194
344   9      1      1238      1283      1284      1239
345   9      1      1283      1328      1329      1284
346   9      1      1328      1373      1374      1329
347   9      1      1373      1418      1419      1374
348   9      1      1418      1463      1464      1419
349   9      1      1463      1508      1509      1464
350   9      1      1508      1553      1554      1509
351   9      1      1553      1598      1599      1554
352   9      1      1598      1643      1644      1599
353   9      1      204      249      250      205
354   9      1      249      294      295      250
355   9      1      294      339      340      295
